id,study.name,dint,SD,cf.timely,setting,ed.level,profic,genre,timed,Length,graded,cf.training,error.type,cf.scope,cf.type,error.key,cf.revision,cf.oral
39,Sheen_etal,-0.322915,0.5023598,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,-1.0824376,0.4625964,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,0.4558268,0.3715847,1,1,2,1,6,1,99,99,99,0,1,0,88,1,0
39,Sheen_etal,0.3870768,0.3643628,1,1,2,1,6,1,99,99,99,0,1,0,88,1,0
39,Sheen_etal,-0.6391715,0.4853717,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
39,Sheen_etal,-0.7079216,0.4797386,1,1,2,1,6,1,99,99,99,1,2,0,88,1,0
40,Shint_Ellis,1.2323605,0.4343458,0,1,2,1,5,1,99,99,99,1,2,3,88,1,0
40,Shint_Ellis,0.6011111,0.36929,0,1,2,1,5,1,99,99,99,1,2,3,88,1,0
40,Shint_Ellis,0.0519818,0.378901,0,1,2,1,5,1,99,99,99,1,2,0,88,1,0
40,Shint_Ellis,0.2509581,0.3681727,0,1,2,1,5,1,99,99,99,1,2,0,88,1,0
41,Sob_Taybi,0.2483885,0.3711298,99,2,3,1,5,1,99,0,99,0,0,1,88,99,0
41,Sob_Taybi,0.4192391,0.3795776,99,2,3,1,5,1,99,0,99,0,1,1,88,99,0
42,Stefan_Revesz,-0.4877348,0.2738048,0,2,1,1,7,0,99,99,99,1,2,0,88,2,0
42,Stefan_Revesz,0.1271268,0.2902503,0,2,1,1,7,0,99,99,99,1,2,0,88,2,0
42,Stefan_Revesz,2.0438835,0.3363597,0,2,1,1,7,0,99,99,99,1,2,0,88,2,0
42,Stefan_Revesz,1.8026304,0.3226758,0,2,1,1,7,0,99,99,99,1,2,0,88,2,0
42,Stefan_Revesz,-0.1259811,0.2631028,0,2,1,1,7,0,99,99,99,1,2,8,88,2,0
42,Stefan_Revesz,0.5082738,0.2903968,0,2,1,1,7,0,99,99,99,1,2,8,88,2,0
42,Stefan_Revesz,1.973196,0.3532502,0,2,1,1,7,0,99,99,99,1,2,8,88,2,0
42,Stefan_Revesz,1.8589556,0.3412437,0,2,1,1,7,0,99,99,99,1,2,8,88,2,0
43,Sun,0.7362874,0.4760037,1,2,2,1,5,0,2,1,99,10,2,8,0,1,0
43,Sun,0.0949114,0.4321899,1,2,2,1,5,0,2,1,99,0,0,3,1,1,0
