"study.name","dint","SD","setting","cf.type","error.key","error.type","ed.level","profic","cf.oral","cf.training","cf.scope","Length","instruction","graded","genre","cf.revision","timed"
"Stefan_Revesz",0.5082738,0.2889962,"2","8","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",1.973196,0.3483574,"2","8","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Stefan_Revesz",1.8589556,0.3434414,"2","8","88","1","1","1","0","99","2","99","0","99","7","2","0"
"Sun",0.7362874,0.4761563,"2","8","0","10","2","1","0","99","2","2","0","1","5","1","0"
"Sun",0.0949114,0.4297367,"2","3","1","0","2","1","0","99","0","2","0","1","5","1","0"
"Tanveer.etal",1.77505,0.5437549,"2","8","88","10","1","1","0","99","1","99","99","99","5","1","1"
"Tanveer.etal",1.7324003,0.5439357,"2","8","88","10","1","1","0","99","1","99","99","99","5","1","1"
"Tanveer.etal",1.8307764,0.5436731,"2","3","88","10","1","1","0","99","1","99","99","99","5","1","1"
"Tanveer.etal",1.3752402,0.5075901,"2","3","88","10","1","1","0","99","1","99","99","99","5","1","1"
"Trscott_Hsu",-0.0827458,0.3393283,"2","1","88","0","2","1","0","99","0","1","99","0","5","1","1"
"VanBe_Jng_Ken",-0.8911023,0.3712853,"2","0","88","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",0.2493989,0.353066,"2","2","1","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-1.3161183,0.4211171,"2","0","88","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-0.1756171,0.404074,"2","2","1","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-1.0457147,0.3609912,"2","0","88","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-0.2850271,0.3513658,"2","2","1","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-0.7674492,0.371902,"2","0","88","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_Ken",-0.0067616,0.3683808,"2","2","1","0","1","99","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenA",0.8167145,0.2424411,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenA",0.1456308,0.233876,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenA",1.1213677,0.2650739,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenA",0.450284,0.2589358,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.6750936,0.2598481,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.0686021,0.2644869,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.7816304,0.2581524,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.175139,0.2679293,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.4659922,0.2506184,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.138741,0.2684166,"2","0","88","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.4843428,0.2510371,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"VanBe_Jng_KenB",0.1570916,0.265977,"2","2","1","0","1","77","0","0","0","1","0","0","2","1","1"
"Wagner",0.4161491,0.3270704,"2","2","1","0","1","2","0","1","0","2","0","99","2","1","1"
"Wang",0.6781531,0.2847309,"2","1","88","0","2","99","0","99","0","2","2","99","2","1","1"
"Wang",0.5380784,0.2742955,"2","0","88","0","2","99","0","99","0","2","2","99","2","1","1"
"Yu_Cheng",0.6004887,0.2697894,"2","8","88","1","2","1","0","99","2","1","0","1","2","1","1"
"Yu_Cheng",0.3869611,0.2666531,"2","8","88","1","2","1","0","99","2","1","0","1","2","1","1"
"Zhang",-0.8209664,0.3150755,"2","0","88","0","2","1","0","99","0","2","2","1","2","2","1"
