study.name,dint,SD,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed,time,outcome
Karim_Nas.,0.1612159,0.4024411,1,0,88,0,2,1,0,99,0,1,99,1,5,1,1,2,1
Karim_Nas.,0.1226661,0.4185687,1,1,88,0,2,1,0,99,0,1,99,1,5,1,1,2,1
Karim_Nas.,0.7107223,0.4494748,1,2,88,0,2,1,0,99,0,1,99,1,5,1,1,2,1
Kassim_Ng,0.8567882,0.2767975,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1,1,1
Kassim_Ng,1.3068494,0.3025007,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1,4,1
Kassim_Ng,0.9412334,0.2800058,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1,1,1
Kassim_Ng,1.2743159,0.299149,2,1,88,2,2,1,0,99,2,2,0,0,5,99,1,4,1
Mubarak,0.9173249,0.4073946,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,1,1
Mubarak,0.1020844,0.375376,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,4,1
Mubarak,0.7551883,0.4560348,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,1,2
Mubarak,1.1760335,0.5072142,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,4,2
Mubarak,0.5287748,0.4436502,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,1,3
Mubarak,-0.1189049,0.4089897,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,4,3
Mubarak,-0.0883446,0.3931426,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,1,4
Mubarak,0.539087,0.4353913,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1,4,4
Mubarak,0.9850886,0.3898693,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,1,1
Mubarak,0.7408177,0.3873502,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,4,1
Mubarak,-0.492668,0.4164501,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,1,2
Mubarak,-1.3695479,0.5067501,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,4,2
Mubarak,0.2064641,0.3933238,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,1,3
Mubarak,-0.1587712,0.3857262,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,4,3
Mubarak,-0.3610557,0.3958051,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,1,4
Mubarak,0.2661353,0.4305798,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1,4,4
Munoz,0.4898987,0.333411,2,2,1,0,2,99,0,1,2,2,1,1,5,1,1,2,1
Munoz,-0.1428038,0.3357152,2,1,88,0,2,99,0,1,2,2,1,1,5,1,1,2,1
Nakazawa,0.6207107,0.4442964,2,0,88,0,2,0,0,0,1,1,1,0,6,1,99,4,1
Nakazawa,0.5270074,0.4408577,2,2,1,0,2,0,0,0,1,1,1,0,6,1,99,4,1
Nakazawa,0.2072256,0.4452188,2,99,88,0,2,0,0,0,1,1,1,0,6,1,99,4,1
Nemati_etal,2.3758261,0.3546502,2,0,88,3,3,0,0,0,2,99,0,99,77,1,1,3,1
Nemati_etal,2.8685424,0.5099516,2,1,88,3,3,0,0,0,2,99,0,99,77,1,1,3,1
Nusrat.etal.,-0.2210411,0.2838813,2,2,1,1,2,99,0,1,1,99,99,0,5,1,1,4,1
Nusrat.etal.,-0.1870419,0.2966875,2,2,1,2,2,99,0,1,1,99,99,0,5,1,1,4,2
Nusrat.etal.,1.5176774,0.3324979,2,2,1,3,2,99,0,1,1,99,99,0,5,1,1,4,3
Pariyto_Cah.,1.2414784,0.488058,2,0,88,0,2,1,0,0,0,2,99,99,2,1,1,1,1
Pariyto_Cah.,0.0505857,0.4083353,2,0,88,0,2,1,0,0,0,2,99,99,2,1,1,3,1
Parreno,0.3399538,0.3504191,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1,2,1
Parreno,-0.2291886,0.3698437,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1,2,2
Parreno,0.8055968,0.3660441,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1,2,3
Parreno,0.0350135,0.3382501,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1,2,4
Parreno,0.050964,0.3685736,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1,2,1
Parreno,1.6658645,0.4221388,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1,2,2
Parreno,0.5851286,0.3498681,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1,2,3
Parreno,0.774272,0.3823207,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1,2,4
Parreno,2.2151856,0.4343995,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1,2,1
Parreno,0.6304444,0.3637613,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1,2,2
Parreno,0.7242867,0.4078416,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1,2,3
Parreno,1.2481171,0.3986207,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1,2,4
Pash.,0.9000682,0.3514163,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1,1,1
Pash.,0.2032657,0.3396237,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1,3,1
Pash.,0.9216269,0.3968104,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1,1,1
Pash.,0.1405257,0.3118838,2,0,88,0,2,1,0,0,1,1,0,99,7,0,1,3,1
Pash.,-0.0758471,0.3315264,2,0,88,0,2,1,0,0,1,1,0,99,7,1,1,1,1
Pash.,0.0016441,0.3389983,2,0,88,0,2,1,0,0,1,1,0,99,7,1,1,3,1
Polio_etal,0.0902697,0.2554375,1,99,0,0,2,99,0,99,0,99,1,1,6,1,1,2,1
Polio_etal,0.3222086,0.2520194,1,99,0,0,2,99,0,99,0,99,1,1,6,1,1,2,2
Rahimi,0.1282604,0.2959297,2,2,0,0,2,1,0,99,0,2,99,99,2,1,0,3,1
Rummel_Bitc.,1.0154921,0.4956855,2,0,0,3,3,2,0,99,2,2,99,99,6,2,1,2,1
Rummel_Bitc.,0.926303,0.4865889,2,0,0,3,3,2,0,99,2,2,99,99,6,2,1,3,1
Rummel_Bitc.,1.4079327,0.5253279,2,2,0,3,3,2,0,99,2,2,99,99,6,2,1,2,1
Rummel_Bitc.,0.6507771,0.4645159,2,2,0,3,3,2,0,99,2,2,99,99,6,2,1,3,1
Rummel_Bitc.,0.5978469,0.4606429,2,3,0,3,3,2,0,99,2,2,99,99,6,2,1,2,1
Rummel_Bitc.,0.8492649,0.4678873,2,3,0,3,3,2,0,99,2,2,99,99,6,2,1,3,1
Sheen_a,0.3857008,0.2784107,1,0,88,1,2,1,0,99,2,1,0,0,6,0,1,1,1
Sheen_a,0.5686759,0.2841905,1,0,88,1,2,1,0,99,2,1,0,0,6,0,1,3,1
Sheen_a,0.3256147,0.2768556,1,8,88,1,2,1,0,99,2,1,0,0,6,0,1,1,1
Sheen_a,0.8398197,0.2999936,1,8,88,1,2,1,0,99,2,1,0,0,6,0,1,3,1
Sheen_b,0.8279999,0.298307,1,0,88,1,2,1,0,99,2,99,0,0,6,2,1,1,1
Sheen_b,0.7615711,0.2917912,1,0,88,1,2,1,0,99,2,99,0,0,6,2,1,3,1
Sheen_b,0.8854389,0.2965205,1,8,88,1,2,1,0,99,2,99,0,0,6,2,1,1,1
Sheen_b,1.1292692,0.3091252,1,8,88,1,2,1,0,99,2,99,0,0,6,2,1,3,1
Sheen_etal,0.7071197,0.3934521,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,2,1
Sheen_etal,-0.3736234,0.3327583,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,3,1
Sheen_etal,0.9267538,0.3988356,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1,2,1
Sheen_etal,-0.1539893,0.3391068,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1,3,1
Sheen_etal,0.2861857,0.3594697,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,2,2
Sheen_etal,0.4743975,0.3758652,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,3,2
Sheen_etal,0.5058198,0.3653544,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1,2,2
Sheen_etal,0.6940316,0.381497,1,0,88,1,2,1,0,99,1,99,99,99,6,1,1,3,2
Sheen_etal,0.7720833,0.3934338,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1,2,3
Sheen_etal,0.0125607,0.3413676,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1,3,3
Sheen_etal,-0.322915,0.4984091,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,2,3
Sheen_etal,-1.0824376,0.4584249,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,3,3
Sheen_etal,0.4558268,0.3653751,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1,2,4
Sheen_etal,0.3870768,0.365156,1,0,88,0,2,1,0,99,1,99,99,99,6,1,1,3,4
Sheen_etal,-0.6391715,0.4765715,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,2,4
Sheen_etal,-0.7079216,0.4764036,1,0,88,1,2,1,0,99,2,99,99,99,6,1,1,3,4
Shint_Ellis,1.2323605,0.433311,1,3,88,1,2,1,0,99,2,99,0,99,5,1,1,2,1
Shint_Ellis,0.6011111,0.3707098,1,3,88,1,2,1,0,99,2,99,0,99,5,1,1,2,1
Shint_Ellis,0.0519818,0.3747977,1,0,88,1,2,1,0,99,2,99,0,99,5,1,1,2,1
Shint_Ellis,0.2509581,0.3651467,1,0,88,1,2,1,0,99,2,99,0,99,5,1,1,2,1
Sob_Taybi,0.2483885,0.3728322,2,1,88,0,3,1,0,99,0,99,99,0,5,99,1,2,1
