"study.name","dint","SD","id","YofPub","cont.type","time","treatments","cf.timely","ssci","setting","ed.level","Age","profic","motivation","Ss.aware","random.grp","equiv.grp","rel.inter","rel.intra","genre","sourced","timed","Location","Length","instruction","graded","acc.measure","cf.training","error.type","cf.scope","cf.type","error.key","cf.provider","cf.revision","cf.oral"
"Frear_Chiu",0.988105134,0.406540409,16,2016,0,2,1,88,1,2,2,2,99,99,1,0,99,1,0,5,1,0,0,99,99,0,14,0,2,2,1,88,1,0,0
"Guo",0.634801654,0.296170868,17,2015,1,0,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0
"Guo",0.907663758,0.309017101,17,2015,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,NA,1,88,0,0,0
"Guo",0.992871666,0.312641652,17,2015,1,12,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,1,88,0,0,0
"Guo",1.279001408,0.330150945,17,2015,1,0,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
"Guo",0.939439876,0.316878801,17,2015,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
"Guo",0.364980419,0.286914634,17,2015,1,12,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,2,1,0,0,0
"Guo",0.543467407,0.293612932,17,2015,1,0,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
"Guo",0.346734017,0.287743202,17,2015,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
"Guo",0.922574299,0.316332809,17,2015,1,12,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,3,88,0,0,0
"Guo",0.497394924,0.297520099,17,2015,1,0,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
"Guo",0.939511403,0.313736954,17,2015,1,4,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
"Guo",0.215926341,0.281616696,17,2015,1,12,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,0,88,0,0,0
"Guo",0.852552414,0.311903801,17,2015,1,0,1,0,2,2,2,2,1,99,1,1,1,0,0,5,0,1,0,1,0,0,1,0,0,1,8,88,0,0,0
