study.name,dint,SD,time,setting,cf.type,error.key,error.type,ed.level,profic,cf.oral,cf.training,cf.scope,Length,instruction,graded,genre,cf.revision,timed
Mubarak,0.528774788,0.458118977,1,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-0.118904904,0.417237461,1,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-0.088344593,0.39884162,1,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.539086991,0.447923499,1,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.985088561,0.394615769,4,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.740817728,0.390791392,4,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-0.492667996,0.425848635,4,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-1.369547948,0.530618261,4,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.206464074,0.398579489,4,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-0.158771197,0.388765317,4,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,-0.361055682,0.402492939,4,2,0,88,0,2,0,0,99,0,1,99,0,77,1,1
Mubarak,0.266135313,0.44266229,4,2,1,88,0,2,0,0,99,0,1,99,0,77,1,1
Munoz,0.489898729,0.334241755,2,2,2,1,0,2,99,0,1,2,2,1,1,5,1,1
Munoz,-0.142803784,0.335839892,2,2,1,88,0,2,99,0,1,2,2,1,1,5,1,1
Nakazawa,0.620710702,0.456929732,4,2,0,88,0,2,0,0,0,1,1,1,0,6,1,99
Nakazawa,0.52700738,0.453827645,4,2,2,1,0,2,0,0,0,1,1,1,0,6,1,99
Nakazawa,0.207225597,0.459612014,4,2,99,88,0,2,0,0,0,1,1,1,0,6,1,99
Nemati_etal,2.375826097,0.362693499,2,2,1,88,3,3,0,0,0,2,99,0,99,77,1,1
Nemati_etal,2.868542442,0.528068411,3,2,1,88,3,3,0,0,0,2,99,0,99,77,1,1
Nusrat.etal.,-0.221041088,0.284008995,4,2,2,1,1,2,99,0,1,1,99,99,0,5,1,1
Nusrat.etal.,-0.187041906,0.298348219,4,2,2,1,2,2,99,0,1,1,99,99,0,5,1,1
Nusrat.etal.,1.517677436,0.338109747,4,2,2,1,3,2,99,0,1,1,99,99,0,5,1,1
Pariyto_Cah.,1.241478431,0.508889191,1,2,0,88,0,2,1,0,0,0,2,99,99,2,1,1
Pariyto_Cah.,0.050585674,0.410537654,3,2,0,88,0,2,1,0,0,0,2,99,99,2,1,1
Parreno,0.339953765,0.352582696,2,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,-0.229188604,0.370122594,2,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.805596812,0.371500526,2,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.035013472,0.338259142,2,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.050964027,0.368609653,2,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,1.665864511,0.434982885,2,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.585128586,0.352060441,2,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.774271971,0.385169408,2,2,0,88,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,2.215185588,0.449044216,2,2,2,1,0,2,1,0,1,1,1,99,0,6,1,1
Parreno,0.630444445,0.368170775,2,2,1,88,0,2,1,0,1,1,1,99,0,6,1,1
